Gene,MCF10A_Hypoxia_Log2,MCF12A_Hypoxia_Log2
DNAJC25,-0.081993321,0.170994396
DNAJC27,0.026027788,-0.10627315
DNAJC28,0.043710103,-0.049296685
DNAJC3,0.663637175,0.735234612
DNAJC30,-0.352077961,-0.58390632
DNAJC4,0.38598989,0.754782923
DNAJC5,-0.516381092,-0.115924282
DNAJC6,-0.43162592,-0.152426905
DNAJC7,0.213115299,0.58140794
DNAJC8,-0.50877972,0.188945254
DNAJC9,-0.499526376,0.485510789
DNAJC9-AS1,0.014125965,-0.003340324
DNAL1,0.2185484,0.000663071
DNAL4,0.179345383,0.397231712
DNALI1,0.016750507,-0.006254995
DNASE1,0.30055437,0.30633441
DNASE1L1,0.556348716,0.76490606
DNASE1L2,-0.120896933,-0.027861291
DNASE1L3,0.038287635,0.023350925
DNASE2,0.264483447,0.604458031
DNER,1.489321298,0.526240422
DNHD1,0.438517189,-0.029051506
DNLZ,-0.207052054,0.259185057
DNM1,-0.001726925,0.162617956
DNM1L,-0.213909683,0.466539636
DNM1P46,0.03419955,0.040849116
DNM2,0.201631062,1.270698933
DNM3,-0.007255225,-0.043635144
DNMBP,0.648193592,0.659931711
DNMT1,-1.128200244,0.120934769
DNMT3A,-0.02310604,0.635481996
DNMT3B,-0.11212264,0.061762866
DNPEP,-0.129766772,-0.020196329
DNPH1,-0.598802149,0.410673596
DNTTIP1,-0.308412465,0.634365058
DNTTIP2,-0.250853739,-0.638337488
DOC2A,0.073019149,-0.072996729
DOC2B,0.018070822,-0.061411344
DOCK1,0.256153404,0.35850673
DOCK10,-0.150291206,0.006473729
DOCK11,0.556591186,0.017846277
DOCK2,0.016750541,0
DOCK3,0.074522447,-0.051792346
DOCK4,0.173462892,0.065485428
DOCK5,1.222391371,0.119087376
DOCK6,0.742865872,0.426955959
DOCK7,0.520073567,0.473292918
DOCK8,-0.121713287,-0.132952138
DOCK9,0.275297659,0.082257223
DOHH,-0.418456437,-0.173363256
DOK1,0.052104631,-0.064299635
DOK3,-0.166326754,-0.012909394
DOK4,0.523308992,0.541776751
DOK6,0.008542454,0.080919958
DOK7,-0.526343208,-0.063610508
DOLK,-0.573322509,-0.82415482
DOLPP1,-0.357973072,0.804891969
DONSON,-0.064964476,1.036391785
DOPEY1,-0.085482291,-0.797021982
DOPEY2,0.002310085,0.240953029
DOT1L,-0.249027842,-0.043626991
DPAGT1,-0.573137243,0.022464909
DPCD,0.493561123,0.669494544
DPF1,-0.056503644,-0.019099863
DPF2,0.345132096,0.421006634
DPF3,0.02505344,0
DPH1,0.068109345,-0.798038648
DPH2,-0.780053199,-1.184367936
DPH3,-0.310158551,0.307415696
DPH3P1,0.009148211,0
DPH5,-0.059094812,0.257370583
DPH6,-0.151688247,-0.181694228
DPH7,-0.409012316,-0.575871505
DPM1,-0.408990393,0.163135769
DPM2,-0.350430252,-0.188383399
DPM3,-0.177079638,1.040104237
DPP10,0,-0.018684209
DPP3,-0.359877483,0.482837638
DPP4,0,-0.006254995
DPP6,0.306299269,0.029588888
DPP7,-0.017517202,0.417574769
DPP8,0.108693423,0.46428992
DPP9,-0.029392294,0.98016278
DPPA4,0.042355113,0.628093035
DPY19L1,0.147688771,0.799326088
DPY19L2,-0.010279119,-0.048985539
DPY19L2P1,0.041517245,0.023440503
DPY19L2P2,-0.049532925,-0.123658337
DPY19L3,-0.028409092,-0.391005303
DPY19L4,0.51492028,0.527104613
DPY30,-0.210885354,0.491737766
DPYD,-0.086117721,0.373742493
DPYSL2,0.795354391,1.08141931
DPYSL3,-0.428234267,0.310308423
DPYSL4,0.008399581,0.008796521
DPYSL5,0.016750541,0
DQX1,0.138390206,-0.058623966
DR1,0.392228094,0.950836295
DRAM1,-0.263897578,-0.123202564
DRAM2,0.545051684,0.990620698
DRAP1,-0.183332585,1.41088848
DRAXIN,-0.011005962,0.016001504
DRC3,0.074522328,-0.026270226
DRD2,0.026083492,0.027480725
DRD4,0.057795287,0.068436972
DRG1,-0.101485118,-0.165830652
DRG2,-0.440345405,0.001229275
DRICH1,0.008399581,-0.012482987
DROSHA,0.003244408,-0.102959138
DRP2,-0.010279141,0.274701289
DSC1,0,-0.006257105
DSC2,1.250278353,0.335038235
DSC3,0.339377396,0.079919657
DSCAM,0.065865946,-0.006254995
DSCC1,-0.544316126,0.417791043
DSCR3,-0.054138269,0.701941881
DSCR8,0.008399581,0
DSCR9,0,-0.018684209
DSE,0.453627561,-0.140729547
DSEL,-0.12145587,-0.092752162
DSG2,0.931744408,1.501346054
DSG3,0.55906399,-0.393858143
DSN1,-0.033069311,0.170409972
DSP,1.317489622,1.233525726
DST,0.52485669,0.102358384
DSTN,-0.01212533,0.927459911
DSTYK,0.376839747,0.229049399
DTD1,-0.213595407,0.734854542
DTD2,-0.449615572,-0.563310222
DTL,-1.02260732,0.1541719
DTNA,0.049679224,0.854957789
DTNB,0.024871898,0.455626163
DTNBP1,-0.114330273,-0.364788135
DTWD1,0.292494772,-0.035061958
DTWD2,-0.104214352,0.184965475
DTX1,0.008399581,-0.018684209
DTX2,0.164201482,-0.384752726
DTX3,0.117657463,0.016257899
DTX3L,0.293959906,-1.046881577
DTX4,0.148777291,0.135979066
DTYMK,-0.80155156,0.339567842
DUOX1,0.09308318,-0.07280246
DUOX2,0.052563138,-0.002993762
DUOXA1,-0.016692091,-0.147540544
DUS1L,-0.885105715,0.240412352
DUS2,-0.049158711,-0.499525169
DUS3L,-0.614254317,-0.540245195
DUS4L,0.045397499,-0.159647817
DUSP1,0.95212464,4.854949437
DUSP10,0.600927618,0.570310096
DUSP11,-0.047612965,-0.536231816
DUSP12,-0.179958582,-0.426108176
DUSP14,-0.527353546,-0.160352619
DUSP15,0,0
DUSP16,0.390861927,0.363190988
DUSP18,0.206850333,0.068940072
DUSP19,0.067855565,0.012818872
DUSP2,-0.154924822,-0.374017985
DUSP22,0.325515372,0.335031058
DUSP23,-0.486891059,0.076156656
DUSP28,0.089101162,-0.116315476
DUSP3,0.3058367,0.663491136
DUSP4,0.696778728,0.12730463
DUSP5,-0.15490181,0.620063653
DUSP6,0.45173053,-1.561297064
DUSP7,0.749895247,0.301182202
DUSP8,-0.034356879,-0.045942851
DUSP9,0.171653962,1.476959909
DUT,-0.587574915,0.147005843
DUX4,0.008399581,0.021223753
DUX4L9,-0.023595731,-0.010257574
DVL1,0.422937667,0.825052766
DVL2,0.375841646,0.334794022
DVL3,0.116744149,0.586681606
DXO,-0.132251402,0.33274418
DYDC2,0.016750552,-0.018684209
DYM,0.432253002,0.910319035
DYNAP,0.034199556,-0.028283873
DYNC1H1,0.461064486,0.788735135
DYNC1I1,0.016750541,0.002621834
DYNC1I2,0.269158245,0.63603606
DYNC1LI1,-0.266950035,0.044480364
DYNC1LI2,0.127467464,0.664313359
DYNC2H1,0.412869869,0.430288744
DYNC2LI1,-0.112108616,0.077958303
DYNLL1,-0.619474648,0.41285396
DYNLL2,-0.192847448,-0.01529118
DYNLRB1,0.044484349,0.16748284
DYNLT1,-0.415940797,0.680639475
DYNLT3,0.192576966,0.427404517
DYRK1A,0.24697841,0.294246379
DYRK1B,0.406584484,-0.007039372
DYRK2,0.147233861,0.344414562
DYRK3,0.179664668,-0.424987364
DYRK4,-0.098240005,0.611313946
DYSF,0.062350701,0.224963191
DYX1C1,-0.146869692,0.035927994
DZANK1,0.045738543,-0.013505634
DZIP1,-0.318725532,-0.723852628
DZIP1L,0.024374382,0.072457797
DZIP3,0.234962895,0.049580462
E2F1,-0.497948305,0.243752415
E2F2,-0.474827077,-0.394792751
E2F3,-0.311795719,-0.939632897
E2F4,-1.024945533,-0.348920684
E2F5,0.242163106,0.37137088
E2F6,-0.43719408,-0.568212575
E2F7,-0.006798963,1.275496475
E2F8,-0.136022413,-0.026807086
E4F1,-0.017793607,-0.097052171
EAF1,0.335235423,0.514066532
EAF2,-0.011864792,-0.121292219
EAPP,-0.366172752,-0.388783655
EARS2,-0.53559163,-0.717039432
EBAG9,-0.003022874,-0.191977037
EBF1,0.045049192,0.021225729
EBF3,0,-0.757378201
EBF4,0.02505344,0.027480724
EBI3,-0.089245576,-0.018684209
EBLN2,0.058743849,0.108875837
EBNA1BP2,-0.987789627,-0.626108924
EBP,0.737069779,1.684664053
EBPL,0.039279708,0.756584835
ECD,-0.152827258,-0.135288558
ECE1,0.567296065,0.5248364
ECE2,-0.735005982,0.127013023
ECH1,0.321018272,0.778837961
ECHDC1,-0.487137242,-0.111519271
ECHDC2,-0.172025948,-0.468928338
ECHDC3,-0.025417384,-0.010171356
ECHS1,-0.334485624,0.647127227
ECI1,-0.560814796,0.084125379
ECI2,0.564373402,0.954325703
ECM1,0.554867754,1.582782111
ECM2,0.166871816,-0.384696852
ECSIT,-0.101036199,0.59119304
ECT2,0.07128418,0.54997505
ECT2L,-0.061260591,0.074662498
EDA,0.331853071,0.203512673
EDA2R,0.222221884,0.48666953
EDARADD,-0.285125749,0
EDC3,-0.146879316,-0.12057769
EDC4,0.037318884,0.299182499
EDEM1,0.499018012,-0.130084655
EDEM2,-0.030384461,0.15586229
EDEM3,0.016505373,-0.649407093
EDF1,-0.255573873,0.802284415
EDIL3,0.008399581,-0.012482987
EDN1,0.325682767,0.107316056
EDN2,0.97952513,6.009456577
EDNRA,0,0.027642137
EDRF1,-0.069178733,-0.069919736
EEA1,0.882774862,0.190212816
EED,-0.141741073,-0.308961514
EEF1A1,0.361071123,1.067647989
EEF1A1P5,0.170129858,0.665990056
EEF1A2,0.152048666,0.54161272
EEF1AKMT1,-0.169309211,-0.349841595
EEF1B2,-0.266429887,0.873505804
EEF1D,0.217476622,1.261022393
EEF1DP3,0.016752706,-0.006255993
EEF1E1,-0.456227114,0.095355387
EEF1G,0.254948158,1.050804549
EEF2,0.401865005,0.651366693
EEF2K,0.206792608,-0.963249949
EEF2KMT,-0.618323697,-0.464740637
EEFSEC,0.038083622,-0.18234887
EEPD1,0,0.051448685
EFCAB1,0.034199637,0.009950768
EFCAB10,0.027302821,-0.003155174
EFCAB11,-0.101804435,0.128515807
EFCAB12,0.121303409,0.063689233
EFCAB13,0.043704457,-0.021893865
EFCAB14,-0.224677946,0.139432719
EFCAB2,0.065785312,0.152329944
EFCAB3,0.04900484,-0.045760422
EFCAB5,0.095135909,0.008017878
EFCAB6,0.016750541,0.035750741
EFCAB7,-0.020637339,0.004546411
EFCAB8,0,-0.031007256
EFEMP1,-0.291644323,0.29873281
EFEMP2,0.338498518,0.173154948
EFHB,0.001457709,-0.012482987
EFHC1,0.138452418,0.201124104
EFHC2,0,0
EFHD1,0.00423163,-0.006254995
EFHD2,0.488300054,1.500752294
EFL1,0.220930543,-0.029773992
EFNA1,0.138346264,2.609175489
EFNA2,0.008399581,0
EFNA3,1.144756363,3.010957889
EFNA4,-0.140299394,0.883431845
EFNA5,0.35729968,-0.335103349
EFNB1,0.17004022,0.178695815
EFNB2,0.489837084,-0.1119695
EFNB3,0.235579302,-0.176726744
EFR3A,-0.148891543,-0.674176711
EFR3B,0.059027368,0.123422339
EFS,0.008399581,0.027480724
EFTUD2,-0.511032392,-0.756798028
EGF,0.0582773,0.027480724
EGFL7,0.035205244,0.597358982
EGFL8,-0.048066168,-0.086598513
EGFLAM,-0.222838795,-0.012482987
EGFR,1.745940729,0.42639796
EGLN1,0.934294489,2.874394898
EGLN2,-0.061149487,-0.050910662
EGLN3,3.985393421,4.089917951
EGR1,-0.00267005,-2.477128084
EGR2,0.025053461,-0.024858914
EGR3,-0.064619685,-0.171214756
EHBP1,0.832885275,-0.062019276
EHBP1L1,0.848992211,0.227218562
EHD1,0.373801893,0.071764609
EHD2,0.972107115,0.754374519
EHD3,-0.101930936,-0.19716639
EHD4,-0.264891157,0.334814962
EHF,-0.40732101,0.175354401
EHHADH,0.057786566,-0.489433683
EHMT1,-0.277151861,-0.693203098
EHMT2,0.04211172,0.063170469
EI24,-0.626934194,0.846703452
EID1,0.232675995,-0.174728817
EID2,-0.457541289,-0.420347756
EID2B,-0.071965086,0.007376168
EID3,-0.083752608,0.023440503
EIF1,0.443390719,1.44926231
EIF1AD,-0.018138342,-0.144183307
EIF1AX,-0.290458843,-0.362224763
EIF1AY,0.025144092,-0.018696708
EIF1B,-0.212336552,1.084528556
EIF2A,0.349830222,0.702265578
EIF2AK1,-0.067058449,0.370781455
EIF2AK2,-0.080888935,-0.146782464
EIF2AK3,0.260648748,0.36696382
EIF2AK4,0.283593574,-0.36822425
EIF2B1,-0.262509913,-0.825960387
EIF2B2,-0.112089256,0.383656036
EIF2B3,-0.666521028,-0.036628648
EIF2B4,-0.004707016,-0.342221245
EIF2B5,-0.351888315,0.005896326
EIF2D,0.168342263,0.568978532
EIF2S1,-0.600053295,-0.814974408
EIF2S2,-0.249218855,0.26091327
EIF2S3,0.416429374,0.717297908
EIF3A,0.457963347,0.313064985
EIF3B,-0.265695329,-0.086142355
EIF3C,0.200613842,0.638928428
EIF3CL,-0.267672107,0.489115228
EIF3D,0.169002302,0.431762469
EIF3E,0.232757094,0.69354234
EIF3F,-0.144432009,0.700636348
EIF3G,-0.097282382,0.47968762
EIF3H,0.05718258,0.923402379
EIF3I,-0.315917803,0.925381252
EIF3J,-0.408410342,-0.874339166
EIF3K,-0.639774698,0.750660288
EIF3L,-0.091445931,0.70726117
EIF3M,-0.226022815,0.65652916
EIF4A1,-0.064654525,0.925371891
EIF4A2,0.72145304,1.877105876
EIF4A3,-0.375217173,0.46480948
EIF4B,0.526544286,0.841342529
EIF4E,-0.49540734,0.328522678
EIF4E2,0.10123358,0.48231884
EIF4E3,0.054975262,0.108306765
EIF4EBP1,-0.292376862,1.026145697
EIF4EBP2,0.179447586,-0.159757048
EIF4EBP3,1.06E-05,-0.484570778
EIF4ENIF1,-0.06145539,0.133742052
EIF4G1,-0.310743374,-0.47044608
EIF4G2,0.180241469,0.45726488
EIF4G3,0.207191349,-0.050792938
EIF4H,0.347529407,1.40642017
EIF5,-0.603681182,-1.683747337
EIF5A,-0.944456322,0.343334781
EIF5A2,-0.024019259,-0.041012625
EIF5AL1,-0.014664628,0.014266008
EIF5B,-0.133684532,-0.66658169
EIF6,-0.447693002,0.061720097
ELAC1,-0.303098237,-0.141454104
ELAC2,-0.742999937,-0.401009369
ELAVL1,-0.751568053,0.236497474
ELAVL2,0.089075223,0.695734665
ELAVL3,0,0
ELF1,0.373704063,0.504742603
ELF2,0.267470483,-0.083180789
ELF3,0.847195527,1.628022904
ELF4,0.151810967,0.353288124
ELF5,0.008411808,-0.012482987
ELFN1,-0.023595731,0
ELFN2,0.443471389,0.018222037
ELK1,0.044146747,0.096856684
ELK3,0.743036054,0.143526151
ELK4,0.52217859,0.357582004
ELL,0.037012981,0.297307195
ELL2,1.503032496,1.978505716
ELL3,0.028426366,-0.282486836
ELMO1,0.017341209,0.068262228
ELMO2,-0.257167613,-0.248155968
ELMO3,0.68043618,0.017084796
ELMOD1,-0.032980962,0.021225729
ELMOD2,0.24804227,0.207432045
ELMOD3,0.034404724,-0.196339946
ELMSAN1,0.75374532,1.310614667
ELN,0.03228352,0.027480724
ELOA,-0.116529894,-0.285225536
ELOB,-0.305122401,1.292195388
ELOC,-0.265995942,0.632775415
ELOF1,-0.435505799,0.489415341
ELOVL1,0.112844787,0.798474755
ELOVL2,0,-0.018684209
ELOVL3,-0.067098749,-0.086960721
ELOVL4,0.167182577,0.098588234
ELOVL5,0.377188526,0.661174321
ELOVL6,-0.353145838,-0.013217677
ELOVL7,0.024685728,0.156605619
ELP2,0.191330467,-0.266526095
ELP3,0.314705516,-0.339435341
ELP4,-0.059745022,0.43643497
ELP5,0.017229344,0.544854275
ELP6,-0.051798825,-0.101784727
EMB,-0.05411974,0.179578594
EMC1,0.184635605,0.048405449
EMC10,0.065231723,0.895225148
EMC2,0.334909476,0.516095589
EMC3,0.08985225,0.626466183
EMC4,-0.184545167,0.649016595
EMC6,-0.394093831,0.309660769
EMC7,-0.357998063,0.635549252
EMC8,-0.981779736,0.292351099
EMC9,-0.215265439,0.593526042
EMCN,-0.035422037,-0.013168961
EMD,0.006317549,1.045346395
EME1,-0.152454792,0.3336419
EME2,0.218080038,-0.241646117
EMG1,-0.62036484,-0.711589757
EMID1,0,-0.006254995
EMILIN1,0.042270216,-0.091091373
EMILIN2,-0.00684519,0.020588617
EMILIN3,0.009564516,0
EML1,-0.343442569,0.060575757
EML2,-0.038151863,0.588122524
EML3,-0.268881283,-0.000139899
EML4,-0.344446313,-0.826646152
EML5,-0.283773771,0.039071729
EML6,-0.018781094,0.122594371
EMP1,0.720351119,1.198203918
EMP2,0.331201061,1.259977292
EMP3,0.971724937,1.820653392
EMSY,-0.245531707,0.206290572
EMX2,0.015904954,0.077209775
EN1,0.008399581,-0.067357153
EN2,0,-0.240614762
ENAH,0.436543664,0.686606964
ENAM,0.01410009,0
ENC1,-0.378619129,-0.527854176
ENDOD1,0.384584033,0.667653508
ENDOG,-0.165073124,0.169352206
ENDOV,0.581148527,-0.154538333
ENG,-0.578658599,-0.549055672
ENGASE,-0.276219168,-0.92305649
ENHO,0,0
ENKD1,-0.016855493,0.061949334
ENKUR,0.164395122,0.027480724
ENO1,0.726840634,2.003016282
ENO2,2.079939786,3.088291395
ENO3,-0.118074039,0.003772743
ENO4,-0.01519615,-0.006513958
ENOPH1,-0.149084683,0.186779784
ENOSF1,0.114070756,-0.663919545
ENOX1,-0.086981969,0.072187166
ENOX2,-0.320126079,-0.467104281
ENPEP,0,0
ENPP1,-0.115963029,-0.020194815
ENPP2,-0.00684519,-0.012482987
ENPP3,0.008399581,0
ENPP4,0.08981052,-0.02485889
ENPP5,0.142461435,0
ENPP6,0.039055848,0.039605353
ENSA,-0.378881248,0.185675107
ENTPD1,-0.133120956,-0.234985814
ENTPD2,0.427745743,1.100863736
ENTPD3,0.026083469,-0.126086917
ENTPD4,-0.348005756,-0.150071001
ENTPD5,-0.184530272,-0.805698136
ENTPD6,-0.11801905,-0.175666527
ENTPD7,-0.142306432,-0.769652568
ENTPD8,0,-0.018684209
ENY2,-0.462004903,0.855640634
EOGT,0.221070073,0.181249693
EOMES,-0.218963233,-0.027861273
EP300,0.386443492,0.22380955
EP400,-0.142498142,-0.811204467
EP400NL,-0.176453385,0.103882558
EPAS1,0.425215511,0.199273756
EPB41,0.05045923,0.046600786
EPB41L1,0.514892284,-0.606543469
EPB41L2,0.219342651,1.496296004
EPB41L3,-0.023595731,-0.006254995
EPB41L4A,0.109568431,-0.121398
EPB41L4B,0.836695948,0.756248643
EPB41L5,0.069218297,0.597461201
EPC1,0.372946677,0.335651363
EPC2,0.487385619,0.281499884
EPCAM,0.027670635,1.468877166
EPDR1,0,-0.149920726
EPG5,0.373158893,0.00247309
EPGN,-0.44861623,-0.332617776
EPHA1,0.02924218,-0.511060534
EPHA10,-0.01519615,-0.006254995
EPHA2,0.123851137,-0.271708281
EPHA3,0.049679224,0
EPHA4,0.089810488,-0.343013899
EPHA6,0.041517245,0
EPHA7,0,0
EPHA8,0.008399581,0.054447812
EPHB1,0.008399581,-0.006254995
EPHB2,-0.077752726,-0.239263347
EPHB3,0.621963652,1.025881773
EPHB4,0.298731084,-0.022966787
EPHB6,-0.067098816,-0.195439584
EPHX1,-0.536373125,0.659409445
EPHX2,-0.019894794,-0.332088693
EPHX3,0.016750541,0.021225729
EPHX4,-0.34472361,-0.027861273
EPM2A,-0.064953616,-0.177193068
EPM2AIP1,0.265588088,-0.572915658
EPN1,0.180567336,1.038883212
EPN2,0.74974604,0.710947175
EPN3,-0.192094824,-0.287641022
EPOP,-0.602437013,-0.753715379
EPOR,0.394610466,-0.086397956
EPPIN,-0.01519615,0.014786079
EPPK1,0.489529301,-3.361716577
EPRS,-0.194502939,-0.262402983
EPS15,0.350860268,0.584002629
EPS15L1,-0.112776018,0.348997413
EPS8,-0.031000098,0.440564121
EPS8L1,0.552536642,0.261469425
EPS8L2,0.560654047,-0.124376872
EPSTI1,-0.038412166,0.017318228
EPX,0.02505344,0.014997737
ERAL1,-0.189861937,0.320700732
ERAP1,0.133522972,-0.351380148
ERAP2,0.066116966,-0.106258048
ERBB2,0.043199108,0.191224269
ERBB3,0.001509405,0.356632151
ERBB4,0,0.054447679
ERBIN,0.463872172,-0.242593283
ERC1,0.467899389,0.099284273
ERC2,0.035061291,-0.012482987
ERC2-IT1,0,0
ERCC1,0.625655237,0.722980126
ERCC2,-0.454971979,-0.468886214
ERCC3,-0.104554775,-0.224246655
ERCC4,-0.03365637,-0.440891009
ERCC5,0.995522415,1.132014381
ERCC6,0.122780216,-0.661671527
ERCC6L,-0.212332197,0.003909872
ERCC6L2,0.038328732,-0.388139896
ERCC8,-0.122923763,-0.079996021
EREG,0.092980054,-0.285170597
ERF,-0.22553616,1.689218524
ERFE,-0.055609961,-0.116221767
ERGIC1,0.828885956,0.929864483
ERGIC2,0.128439189,0.223405641
ERGIC3,0.276246206,1.077786883
ERH,-1.112360109,-0.44196838
ERI1,-0.265121918,0.147951331
ERI2,-0.055663386,-0.288096291
ERI3,-0.635474191,-0.018380412
ERICH1,0.218957676,-0.603077377
ERICH2,0.105259903,-0.018684209
ERICH6,0.008399581,0.041964639
ERICH6B,-0.034552679,-0.02779044
ERLEC1,-0.023564086,-0.034911715
ERLIN1,0.095085484,0.14692578
ERLIN2,0.180769465,-0.668240276
ERMAP,0.601933424,0.612358234
ERMARD,-0.141743145,0.021567356
ERMP1,0.70856032,0.715724551
ERN1,0.463069283,-0.069946076
ERN2,0.03421067,0.0683949
ERO1A,2.208461197,3.896181192
ERO1B,0.233039015,-0.024825311
ERP27,-0.046811747,-0.006254995
ERP29,-0.074783189,0.925780888
ERP44,0.238801968,1.377652268
ERRFI1,1.459318065,4.129901385
ERV3-1,0.142173164,-0.040240164
ERVFRD-1,-0.023595734,0.02122574
ERVH48-1,0.081959866,-0.018684209
ERVK13-1,-0.107175768,-0.205989032
ERVMER34-1,-0.262338134,-0.521033252
ERVW-1,0.118414105,-0.108024994
ESAM,0.026545695,0.048192766
ESCO1,0.480177105,-0.345015484
ESCO2,-0.45190502,-0.258060392
ESD,-0.076017274,0.500998352
ESF1,0.172958303,-1.024201743
ESPL1,-0.409487458,0.24459955
ESPN,-0.043969068,0.100916112
ESR1,0.058277324,-0.652308535
ESR2,0.05188843,0.002905115
ESRG,1.844794706,1.737062033
ESRP1,0.841858058,1.599832103
ESRP2,-0.451751055,-0.561049599
ESRRA,-0.334107698,0.342351609
ESRRB,0.001457709,-0.012483005
ESRRG,0.049679224,-0.018684209
ESYT1,0.692422585,0.641276992
ESYT2,1.402332403,1.337940544
ESYT3,-0.055219924,-0.046550971
ETAA1,0.485358499,0.168828777
ETF1,-0.400320143,0.074717316
ETFA,-0.295549827,0.863020858
ETFB,-0.100767938,0.654850558
ETFBKMT,-0.05309388,-0.039072894
ETFDH,-0.121617289,0.140958687
ETFRF1,0.002565057,0.086552883
ETHE1,-0.01203578,0.889857517
ETNK1,0.491812342,0.65809718
ETNK2,-0.259682649,0.31442194
ETS1,0.724496684,1.023872719
ETS2,1.270361148,1.635578439
ETV1,0.552536353,0.122423843
ETV2,-0.034356902,-0.049296685
ETV3,0.162838045,0.304846989
ETV4,-0.248182073,0.761663998
ETV5,-0.114488371,-0.008849863
ETV6,0.532562258,0.031803649
ETV7,-0.218963174,-0.086960605
EVA1A,0.269173454,0.17578206
EVA1B,0.371835869,0.872620087
EVA1C,-0.262555044,-0.084300895
EVC,0.229450034,0.174728177
EVI2A,0.392544547,0.125306806
EVI2B,0.533322949,-0.102416651
EVI5,-0.011061594,-0.164781035
EVI5L,-0.027226563,0.305967467
EVL,0.110846292,0.14028194
EVPL,0.441932269,-0.052253789
EVPLL,0.154536911,-0.017147736
EWSR1,-0.326018951,-0.713404956
EXD1,-0.00684519,-0.006284267
EXD2,0.126526677,0.474835144
EXD3,0.295642523,-0.092074556
EXO1,-1.013574601,0.560592506
EXO5,-0.048083628,-0.220037822
EXOC1,0.642755651,0.218799304
EXOC2,-0.274029176,0.215758025
EXOC3,0.260461296,-0.159702291
EXOC3-AS1,0.010536591,-0.055531044
EXOC3L1,0.066214854,-0.098495703
EXOC3L2,-0.053349184,0.019479616
EXOC3L4,0,-0.00575699
EXOC4,0.634992849,0.73572597
EXOC5,0.467249784,0.821309088
EXOC6,-0.15694182,0.149775527
EXOC6B,0.195753944,0.125111475
EXOC7,0.290294202,-1.045632423
EXOC8,0.048613733,-0.311521606
EXOG,-0.261266459,-0.28923281
EXOSC1,-0.462174881,0.481715876
EXOSC10,0.122341189,0.590486222
EXOSC2,-0.350490979,-1.104725217
EXOSC3,-0.41191153,-0.303402308
EXOSC4,-0.496967014,-0.981282895
EXOSC5,0.011599333,0.067383706
EXOSC6,-0.437063712,-1.016775956
EXOSC7,-0.466976848,-0.118870466
EXOSC8,-0.383202594,-0.017815248
EXOSC9,-0.346034693,0.222544911
EXPH5,0.272475505,0.252704028
EXT1,0.494335101,-0.116435661
EXT2,-0.094200487,0.5322368
EXTL1,0,-0.018684209
EXTL2,-0.143406511,-0.189695312
EXTL3,-0.026884379,0.637365778
EYA1,0.332480912,0.259422609
EYA2,-0.00760931,0.061279794
EYA3,-0.01705026,0.143053644
EYA4,0.008399581,0.03576355
EYS,0.131000676,0.151926527
EZH1,0.329097599,0.903722306
EZH2,-0.357862211,0.739775115
EZR,0.49092661,0.308907324
F10,0.008399581,-0.012483013
F11R,0.504466941,1.005735559
F12,-0.600604131,0.196784035
F2R,0.206532946,0.261205543
F2RL1,-0.12848432,0.275877708
F2RL2,-0.030061215,-0.012514805
F2RL3,0.002558412,0.100240172
F3,2.383448958,1.451720626
F8,0.052986185,0.067789576
F8A1,0.027713738,-0.619096162
F8A3,-0.0240575,-0.03546042
FA2H,0.126313687,0.374539964
FAAH,-0.166428662,-0.0789781
FAAH2,0.121913859,0.016566307
FAAP100,-0.435873548,-0.808833681
FAAP20,-0.270558068,0.465061609
FAAP24,0.021135738,-0.049020483
FABP2,-0.066824325,0.004873756
FABP3,0.042270216,0.120841167
FABP5,-0.583888728,2.133231455
FABP6,-0.00684519,-0.096964182
FABP7,0,0.021225729
FADD,-0.303077345,-0.617126954
FADS1,0.779001337,0.668271686
FADS2,0.791357485,1.827424285
FADS3,0.12665273,0.021294742
FADS6,-0.015136855,-0.012522759
FAF1,-0.065884689,1.014496414
FAF2,0.067388213,-0.04634981
FAH,-0.486250175,-0.234525686
FAHD1,-0.188449995,-0.524787365
FAHD2A,-0.126151752,0.343273972
FAHD2B,-0.307938669,0.033569847
FAIM,-0.084188252,0.006199732
FAM102A,-0.039523935,0.055570418
FAM102B,0.282778789,0.527392494
FAM103A1,-0.12167672,0.052491282
FAM104A,0.203888322,-0.01698062
FAM104B,-0.114591871,0.061567774
FAM105A,-0.01350292,0.03576355
FAM106A,0.08601592,-0.004186415
FAM107A,-0.030061207,0.004575871
FAM107B,-0.026202104,0.30139836
FAM109A,-0.089363566,-0.057778261
FAM109B,0.02505344,-0.197166287
FAM110A,0.301269873,0.742005378
FAM110B,-0.091078287,0.093490966
FAM110C,0.170372241,1.279814266
FAM110D,-0.007079263,0.036278746
FAM111A,-0.046909391,-0.188239699
FAM111B,-0.701374142,-0.407698431
FAM114A1,1.581715413,0.990713181
FAM114A2,-0.071355465,-0.370708023
FAM117A,0.163655034,0.485831927
FAM117B,-0.098679077,0.435161201
FAM118A,-0.040115105,-0.074085722
FAM118B,-0.291934655,-0.128623382
FAM120A,0.435847323,0.810870547
FAM120AOS,-0.186316519,-0.181701392
FAM120B,0.107540178,-0.800621049
FAM120C,-0.190115659,-0.107788666
FAM122A,-0.124022189,-0.667689696
FAM122B,-0.248828008,0.094540137
FAM122C,0.074581518,-0.033969191
FAM124A,-0.105899435,0.031588441
FAM124B,-0.023595731,-0.012482987
